Paper Title,Paper Link,Relevance to Research,Dataset / Domain,Key Findings,Methodology / Model,Summary,Limitations,Status,bibtex
"Efficient Approach for Anomaly Detection in Internet of Things
Traffic Using Deep Learning
Syed Ibrahim Imtiaz,2024 (7s7)",https://onlinelibrary.wiley.com/doi/pdf/10.1155/2022/8266347,,UNSW NB15,"Focus is mainly on binary anomaly vs normal classification,  DT AND RF Accuracy 99%.
Uses the UNSW‑NB15 dataset as a benchmark, mainly for binary anomaly vs normal detection in an IoT context (network traffic to IoT devices).

Evaluates performance after applying feature reduction, but does not deeply analyze per‑attack classes or within‑class imbalance.

Relies on overall accuracy, which can be misleading when minority classes are rare; detailed macro‑averaged metrics or per‑class F1 for rare attacks are not central in their evaluation",,,"
Relies on overall accuracy, which can be misleading when minority classes are rare; detailed macro‑averaged metrics or per‑class F1 for rare attacks are not central in their evaluation",Done,"@article{Imtiaz2022EfficientIoTAnomaly,
title        = {Efficient Approach for Anomaly Detection in Internet of Things Traffic Using Deep Learning},
author       = {Imtiaz, Syed Ibrahim and Khan, Liaqat Ali and Almadhor, Ahmad S. and Abbas, Sidra and Alsubai, Shtwai and Gregus, Michal and Jalil, Zunera},
journal      = {Concurrency and Computation: Practice and Experience},
year         = {2022},
volume       = {34},
number       = {26},
pages        = {e8266347},
doi          = {10.1155/2022/8266347},
publisher    = {Wiley},
}
"
"Addressing Imbalanced Data in Network Intrusion
Detection: A Review and Survey
Elham Abdullah Al-Qarni (7s7)",https://pdfs.semanticscholar.org/27b3/e96f846b58b42e63bf1add9f741cfc90a9a5.pdf,,"The paper surveys nine key intrusion detection datasets, all exhibiting class imbalance between normal traffic and attacks. These include CICIDS2017 (2.8M records, 83 features, 14 attacks), CSE-CIC-IDS2018 (16.2M records, 80 features, 6 attacks), CIDDS-001 (32M records, 14 features, 92 attacks), KDD99 (4.9M records, 41 features, 4 attacks), NSL-KDD (improved KDD99, 41 features, 4 attacks), UNSW-NB15 (2.5M records, 49 features, 9 attacks), UNSW-NB18 (3.7M records, 42 features, 6 attacks), UGR'16 (16.9M records, 12 features, 7 attacks), and UWF-ZeekData22 (18M records, 14 attacks).","NIDS: ADASYN achieved up to 99.91% accuracy on CICIDS2017 (vs. 99.86% baseline), while SMOTE yielded averages of 88.13% accuracy, 86.96% F1, 85.68% recall, 90.68% precision across studies. Post-balancing, models like RF on UNSW-NB15 hit 95.1% accuracy and ensembles reached 99.84% on KDD99. ADASYN outperformed SMOTE in accuracy (92.28% vs. 88.13%) and recall, though SMOTE preserved higher precision.",,"This review surveys datasets like CICIDS2017, KDD99, and UNSW-NB15, focusing on oversampling methods (SMOTE, ADASYN) with ML/DL models (RF, LSTM). Key findings show oversampling boosts accuracy (e.g., ADASYN to 99.91%) and recall, but limitations include narrow scope on oversampling, no original experiments, and unresolved issues like noise and evolving threats",oversampling techniques like SMOTE and ADASYN and unresolved issues like noise and evolving threats,Done,"@article{AlQarni2024,author = {Al-Qarni, Elham Abdullah},title = {Addressing Imbalanced Data in Network Intrusion Detection: A Review and Survey},journal = {International Journal of Advanced Computer Science and Applications},volume = {15},number = {2},year = {2024},doi = {10.14569/IJACSA.2024.0150215},url = {https://thesai.org/Publications/ViewPaper?Volume=15&Issue=2&Code=IJACSA&SerialNo=15%7D}

"
"Resampling imbalanced data for network
intrusion detection datasets",https://www.researchgate.net/publication/348289073_Resampling_imbalanced_data_for_network_intrusion_detection_datasets,Important,https://research.unsw.edu.au/projects/unsw-nb15-dataset,"1. Hybrid resampling (RU-SMOTE) boosts Macro Recall from ~32% to ~74% on UNSW-NB15, significantly improving minority attack detection.
2. Standard classifiers without resampling fail to detect minority attacks due to the extreme dominance of benign traffic.
3. Hybrid methods provide a better balance between high detection rates and training efficiency compared to computationally expensive oversampling.
4. Macro-averaged metrics are proven superior to micro-metrics for fairly evaluating performance on imbalanced cybersecurity datasets.
5. Resampling is critical for highly imbalanced datasets like NB15 but shows negligible impact on relatively balanced datasets.","1. Implemented a hybrid pipeline combining Random Undersampling (for majority) with SMOTE/ADASYN (for minority).
2. Used Artificial Neural Networks (ANN) within the Apache Spark Big Data framework for scalable processing.
3. Applied a consistent 70% Training and 30% Testing split across all experiments to ensure reproducibility.
4. Selected Macro Precision, Macro Recall, and Macro F1-score as primary metrics to prevent majority class bias.
5. Systematically compared five resampling combinations (RU, RO, RURO, RU-SMOTE, RU-ADASYN) against a no-resampling baseline.","This study addresses the extreme class imbalance in datasets like UNSW-NB15 by implementing hybrid resampling techniques. The authors propose combining Random Undersampling (to reduce majority classes) with Oversampling methods like SMOTE (to synthesize minority attacks). Results show that this hybrid approach boosts Macro Recall from 32% to over 74% on UNSW-NB15, proving that resampling is essential for detecting rare attacks. The paper strongly advocates for using Macro-averaged metrics to ensure minority classes are not overshadowed by the majority class during evaluation.","1. Random Undersampling discards a massive portion of the majority class data, leading to potential loss of important normal traffic patterns.
2. Pure Random Oversampling drastically increases the training time, making it computationally expensive for large datasets.
3. While Macro Recall improved significantly, Macro Precision often decreased, indicating a trade-off with increased False Positives.",Done,"@article{bagui2021resampling,
  title={Resampling imbalanced data for network intrusion detection datasets},
  author={Bagui, Sikha and Li, Kunqi},
  journal={Journal of Big Data},
  volume={8},
  number={1},
  pages={6},
  year={2021},
  publisher={Springer}
}"
"Feature Selection in UNSW-NB15 and
KDDCUP’99 datasets",https://shura.shu.ac.uk/15662/1/Feature%20Selection%20TJ-SZ-ISIE%202017-Camera%20Ready1.pdf,Medium,https://research.unsw.edu.au/projects/unsw-nb15-dataset,"1. Subset 2 (5 features) proposed in this study outperformed previous subsets, achieving the highest Kappa score (0.7639).
2. Critical Features: Identifies sttl, sbytes, service, smean, and ct_dst_sport_ltm as the most significant features for intrusion detection.
3. Algorithm: Random Forest proved to be the most robust and accurate classifier among those tested in Weka.
4. Fair Evaluation: Unlike KDD’99 which introduced new attacks in testing, UNSW-NB15 maintains consistent attack types across training and testing sets, ensuring reliable evaluation.
5. Dimensionality: Reducing features solves the ""curse of dimensionality,"" improving training speed without sacrificing accuracy.
","1. Used Weka (v3.8) for machine learning tasks.
2. Compared two feature subsets: Subset 1 (based on Association Rule Mining) vs. Subset 2 (based on InfoGain/GreedyStepwise selection).
3. Analyzed the official UNSW-NB15 Training and Testing splits (which exclude IDs and some IPs).
4. Evaluated performance using Kappa Statistics and ROC values.
5. Compared feature overlaps between UNSW-NB15 and the legacy KDD’99 dataset.","This paper addresses the ""curse of dimensionality"" in UNSW-NB15 by identifying significant features using machine learning. Using Random Forest in Weka, the authors proposed a subset of just 5 features (including sttl and service) which outperformed larger subsets. The study concludes that UNSW-NB15 is a more reliable benchmark than KDD’99 because it maintains consistent attack types across training and testing sets, whereas KDD’99 introduced unknown attacks in the test phase.","1. Aggressive reduction to only 5 features might discard subtle data patterns necessary for detecting extremely rare attack types.
2. The maximum Kappa score achieved (0.76) indicates that a significant number of misclassifications still persist.
3. Relies primarily on classical algorithms (Weka/Random Forest) without exploring deep learning for complex feature extraction.",Done,"@INPROCEEDINGS{8001537,
author={Janarthanan, Tharmini and Zargari, Shahrzad},
booktitle={2017 IEEE 26th International Symposium on Industrial Electronics (ISIE)},
title={Feature selection in UNSW-NB15 and KDDCUP'99 datasets},
year={2017},
volume={},
number={},
pages={1881-1886},
keywords={Feature extraction;Training;Intrusion detection;Testing;Data mining;Telecommunication traffic;Decision trees;anomaly detection;feature selection;data mining;machine learning;KDDCUP'99;UNSWNB15;IDS},
doi={10.1109/ISIE.2017.8001537}}
"
"A Survey of Network-based Intrusion Detection
Data Sets
",https://arxiv.org/abs/1903.02460,Medium,https://research.unsw.edu.au/projects/unsw-nb15-dataset,"1. Lack of representative public datasets is identified as a major challenge for NIDS research.
2. UNSW-NB15 is explicitly classified as an imbalanced dataset in the comparative analysis.
3. Real-world network traffic is inherently imbalanced requiring preprocessing before training models.
4. Predefined training and testing splits are crucial for fair and reproducible evaluation.
5. The survey confirms UNSW-NB15 contains diverse modern attack scenarios like Backdoors and Worms.","1. Defined 15 specific properties to assess the suitability of intrusion detection datasets.
2. Grouped properties into five categories including Nature of Data and Recording Environment.
3. Analyzed 34 existing datasets against these properties to identify peculiarities and quality.
4. Evaluated datasets for key criteria like label availability and class balance.
5. Categorized traffic origins as real, emulated, or synthetic to assess realism.","This literature survey evaluates 34 NIDS datasets against 15 properties, including data nature and recording environment. It highlights the scarcity of high-quality benchmarks and explicitly classifies UNSW-NB15 as an imbalanced dataset, validating the need for balancing techniques. The authors emphasize that real-world traffic is naturally imbalanced and recommend using datasets with predefined splits for reproducibility. This work confirms UNSW-NB15 as a suitable, modern benchmark containing diverse attack families.","1. Provides a theoretical critique of dataset properties without proposing novel algorithms to solve the identified limitations.
2. Focuses on metadata and qualitative assessment rather than benchmarking specific machine learning model performance.
3. Identifies class imbalance as a critical issue in real-world traffic but offers limited practical implementation details for resolving it.",Done,"@ARTICLE{2019arXiv190302460R,
author = {{Ring}, Markus and {Wunderlich}, Sarah and {Scheuring}, Deniz and {Landes}, Dieter and {Hotho}, Andreas},
title = ""{A Survey of Network-based Intrusion Detection Data Sets}"",
journal = {arXiv e-prints},
keywords = {Computer Science - Cryptography and Security},
year = 2019,
month = mar,
eid = {arXiv:1903.02460},
pages = {arXiv:1903.02460},
doi = {10.48550/arXiv.1903.02460},
archivePrefix = {arXiv},
eprint = {1903.02460},
primaryClass = {http://cs.cr/},
adsurl = {https://ui.adsabs.harvard.edu/abs/2019arXiv190302460R},
adsnote = {Provided by the SAO/NASA Astrophysics Data System}
}"
"Resampling imbalanced data for network
intrusion detection datasets",https://link.springer.com/article/10.1186/s40537-020-00390-x,,"1. KDD99 
{https://www.kaggle.com/datasets/toobajamal/kdd99-dataset}
2. UNSW‑NB15 
{https://www.kaggle.com/datasets/mrwellsdavid/unsw-nb15}
3. ","1. Oversampling slows down training, under sampling speeds it up
2. For highly dataset, resampling greatly improves recall
3. Macro precision sometimes decreases after resampling
4. RURO and RU-SMOTE give the best performance","1. Select cybersecurity datasets
2. Preprocess the datasets
3. Apply resampling techniques on training data
(a) Random Undersampling (RU)
(b) Random Oversampling (RO)
(c) RURO (RU + RO combined)
(d) RU-SMOTE
(e) RU-ADASYN
4. Train an Artificial Neural Network (ANN) classifier
5. Evaluate performance","The paper studies how to fix the class imbalance problem in network intrusion detection datasets, where normal traffic is huge but many attack types have very few samples. Because of this imbalance, machine-learning models perform poorly on rare but dangerous attacks.
The authors compare different resampling techniques (like oversampling minority classes, undersampling majority classes, and hybrid methods) to see which one helps machine-learning models detect attacks more accurately. They find that SMOTE-based oversampling and hybrid methods significantly improve detection of minority attacks without hurting overall performance. The paper highlights that choosing the right resampling technique is crucial for building reliable intrusion detection systems.","1. Only Resampling Techniques Were Explored
2. Synthetic Samples May Not Represent Real Attacks
3. Classifier Variety Was Limited
4. No Real-Time Testing
5. Feature Engineering Not Strongly Addressed",Done,"@article{article,
author = {Bagui, Sikha and Li, Kunqi},
year = {2021},
month = {01},
pages = {},
title = {Resampling imbalanced data for network intrusion detection datasets},
volume = {8},
journal = {Journal of Big Data},
doi = {10.1186/s40537-020-00390-x}
}"
Ensemble based Effective Intrusion Detection System for Cloud Environment over UNSW-NB15 Dataset,https://www.researchgate.net/publication/360783406_Ensemble_based_Effective_Intrusion_Detection_System_for_Cloud_Environment_over_UNSW-NB15_Dataset,"1. High-Performance Baseline: This paper achieves extremely high accuracy (99.28%) using Random Forest, serving as a strong ""Gold Standard"" baseline for our Task A (Binary Classification).

2. Methodology Validation: It confirms the effectiveness of using a combined Train+Test dataset split (75/25) and standard preprocessing (Label Encoding, Min-Max Normalization) which we can replicate .

3. Contrast Point: The paper focuses exclusively on binary classification, ignoring the multiclass problem (specific attack types), which perfectly sets up our research gap regarding minority class detection.","Dataset: UNSW-NB15 (Cloud/Network Intrusion Detection) .
{https://research.unsw.edu.au/projects/unsw-nb15-dataset}

Features: 49 features initially, reduced to 38 using ANOVA feature selection .

Data Split: Combined Training and Testing sets (257,673 total records), then re-split into 75% Training and 25% Testing .","1. Superior Accuracy: The Bagging algorithm achieved the highest accuracy of 99.47%, while Random Forest achieved 99.28%.

2. Feature Selection: Univariate feature selection (ANOVA) successfully identified 38 key features that contributed to high model performance.

3. Precision/Recall: Both models achieved near-perfect Precision and Recall (99%-100%) for binary classification (Normal vs. Attack).",". Preprocessing:
• Encoding: Label Encoding for nominal features (Protocol, Service, State) .

• Normalization: Standard Min-Max normalization .

• Feature Selection: Univariate selection using ANOVA F-test (selected 38 features).

2. Models:
• Random Forest: Ensemble of decision trees trained on bootstrap samples .

• Bagging: Bootstrap aggregation using Decision Trees as base learners.

3. Evaluation: Accuracy, Precision, Recall, F1-Score, and Confusion Matrix.","This study proposes an anomaly-based Intrusion Detection System (IDS) for cloud environments using ensemble machine learning techniques. The authors combined the UNSW-NB15 training and testing sets, applied ANOVA feature selection to select 38 features, and evaluated Random Forest and Bagging algorithms. Both models demonstrated exceptional performance for binary classification, with Bagging achieving 99.47% accuracy and Random Forest achieving 99.28%, proving the effectiveness of ensemble methods for detecting cloud intrusions.","1. Binary Only: The study is strictly limited to binary classification (Normal vs. Attack) and does not evaluate performance on specific attack types (Multiclass), masking potential failures on minority classes.

2. Data Leakage Risk: By combining the official Train and Test sets and then re-splitting them randomly (75/25), the experimental setup may introduce bias compared to using the strict official split, potentially inflating accuracy .",Done,"@inproceedings{amin2021ensemble,
  title={Ensemble based effective intrusion detection system for cloud environment over UNSW-NB15 dataset},
  author={Amin, Uzma and Ahanger, Aamir S and Masoodi, F and Bamhdi, AM},
  booktitle={Scrs Conf. Proc. Intell. Syst},
  pages={483--494},
  year={2021}
}"
Anomaly detection using random forest: A performance revisited,https://www.researchgate.net/publication/323135297_Anomaly_detection_using_random_forest_A_performance_revisited,"1. Direct Baseline for UNSW-NB15: This paper explicitly tests Random Forest (RF) on UNSW-NB15, aiming for an optimal ""number of trees."" This serves as a perfect comparison point for our own RF baseline in Task A.
2. Validation of RF Superiority: Their findings confirm that Random Forest significantly outperforms other single and ensemble classifiers, reinforcing our choice of RF as a strong classical baseline.
3. Handling Sample Size/Imbalance: They note performance issues in the GPRS dataset due to ""lack of samples"" and ""class imbalance,"" validating our research focus on solving these specific issues.
4. Metric Focus: They use Accuracy and False Alarm Rate (FAR), aligning with the metrics used in our other references.","1. NSL-KDD 
{https://www.kaggle.com/datasets/hassan06/nslkdd}

2.UNSW_NB15:
{https://research.unsw.edu.au/projects/unsw-nb15-dataset}

3..GPRS:
","1. Optimal Tree Count: The Random Forest model with 800 trees (RF-800) was statistically the best performer across all datasets, followed closely by RF-400 and RF-500.
2. Performance on UNSW-NB15: The RF-800 model achieved 95.5% Accuracy and 7.22% False Alarm Rate (FAR) on the UNSW-NB15 dataset.
3. Statistical Significance: The Friedman and Nemenyi tests confirmed that RF-800 is statistically superior to lower tree counts (like RF-20) and other existing models in literature.
4. Dataset Variance: Performance was highest on NSL-KDD (~99%) but dropped for GPRS and UNSW-NB15 (~95%), suggesting modern datasets are harder to classify.","1. Model: Random Forest Classifier (Ensemble of Decision Trees).
2. Tuning: Used Grid Search to optimize parameters like min_depth, nbins, and sample_rate. Tested tree sizes: {10, 20, 40, 50, 80, 100, 200, 400, 500, 800}.
3. Implementation: Used the H2O package in R for efficient training.
4. Evaluation: Used 10-Fold Cross-Validation (10cv) to ensure robustness.
5. Metrics: Accuracy, False Alarm Rate (FAR), and Statistical Significance Tests (Friedman Test, Nemenyi Test).","This study proposes an effective Intrusion Detection System (IDS) for IoT networks using a Random Forest classifier. The authors evaluated the model across three diverse datasets (NSL-KDD, UNSW-NB15, GPRS) and systematically tested ensemble sizes ranging from 10 to 800 trees. Using statistical significance testing, they determined that a Random Forest with 800 trees (RF-800) provided the most robust performance, significantly outperforming existing methods like Naive Bayes Trees and Neural Networks in terms of accuracy and false alarm rates.","1. High False Alarm Rate (FAR): On the UNSW-NB15 dataset, the False Alarm Rate was 7.22%, which is relatively high compared to the 0.34% achieved on NSL-KDD.
2. Underperformance on Modern Data: The authors admitted their model ""could not perform better than decision tree"" from a previous study on the UNSW-NB15 dataset.
3. Imbalance Issues: They explicitly identified ""class imbalance"" and ""overlapping classes"" as reasons for lower performance on the GPRS and UNSW-NB15 datasets, but did not implement specific sampling or weighting strategies to fix it.",Done,"@inproceedings{primartha2017anomaly,
  title={Anomaly detection using random forest: A performance revisited},
  author={Primartha, Rifkie and Tama, Bayu Adhi},
  booktitle={2017 International conference on data and software engineering (ICoDSE)},
  pages={1--6},
  year={2017},
  organization={IEEE}
}"
Performance Analysis of Intrusion Detection Systems Using a Feature Selection Method on the UNSW-NB15 Dataset,https://www.researchgate.net/publication/345061553_Performance_Analysis_of_Intrusion_Detection_Systems_Using_a_Feature_Selection_Method_on_the_UNSW-NB15_Dataset,"1. Shared Goal: This paper validates our core problem statement by explicitly mentioning that high-dimensional data and ""highly imbalanced datasets"" degrade IDS performance.
2. Methodology Alignment: They use classical ML models (LR, DT, KNN, SVM, ANN) on UNSW-NB15, providing a direct baseline for our work.
3. Contrast in Solution: While we are testing sampling/weighting strategies for imbalance, they used Feature Selection (XGBoost) to solve it. This allows us to position our work as a complementary approach.
4. Results Benchmark: Their Decision Tree model achieved 90.85% binary accuracy and 67.57% multiclass accuracy, giving us specific numbers to compare our own baselines against.","https://www.unsw.adfa.edu.au/unsw-canberra-cyber/cybersecurity/ADFA-NB15-Datasets/  


Classes: Normal + 9 Attack Types (Generic, Exploits, Fuzzers, DoS, Reconnaissance, Analysis, Backdoor, Shellcode, Worms)

Features: 42 original features reduced to 19 using XGBoost Feature Selection.","1. Feature Selection Impact: Using XGBoost to select 19 optimal features improved performance for most models compared to using all 42 features. For example, the Decision Tree binary accuracy increased from 88.13% to 90.85%.
2. Best Models: The Decision Tree (DT) was the best performer for binary classification (90.85% accuracy), while the Artificial Neural Network (ANN) was best for multiclass classification (77.51% accuracy).
3. Minority Class Failure: Even with feature selection, the ANN model underperformed on minority classes (Backdoor, Shellcode, Worms), showing that feature selection alone does not fully solve the imbalance problem.
4. Model Efficiency: Feature selection significantly reduced model complexity; for instance, the ANN required 50% fewer neurons in the hidden layer to achieve better results.","1. Data Pre-processing:
• Normalization: Applied Min-Max scaling to normalize numerical features between 0 and 1 to improve model efficiency .

• Encoding: Used One-Hot Encoding to transform categorical features (non-numeric inputs) into a format suitable for machine learning.

2. Feature Selection (Core Contribution):
• Used the XGBoost algorithm to calculate a Feature Importance (FI) score for every attribute .

• Reduction: Reduced the original 42 features down to 19 optimal features, discarding those with low importance scores to reduce complexity.

3. Models Implemented & Hyperparameters:
• Artificial Neural Network (ANN): Uses the Adam solver and a single hidden layer (tested with 5, 10, 15, 30, 50, 100 neurons) .

• Decision Tree (DT): Tested with maximum depth values of {2, 5, 7, 8, 9} .

• k-Nearest Neighbor (KNN): Uses Euclidean metric; tested neighbour counts of {3, 5, 7, 9, 11} .

• Support Vector Machine (SVM): Used Radial Basis Function (RBF) kernel with Regularization parameter C=1.12 .

• Logistic Regression (LR): Random state set to 10 with max iterations of 1000.

4. Experimental Setup:
• Data Split: The official Training set was further split into 75% Training and 25% Validation (to prevent data leakage). The official Testing set was kept separate for final evaluation .

• Metrics: Accuracy, Precision, Recall, and F1-Score .","This study proposes a filter-based feature selection method using XGBoost to enhance Intrusion Detection Systems (IDS). The authors evaluated five machine learning models (ANN, LR, KNN, SVM, DT) on the UNSW-NB15 dataset for both binary and multiclass tasks. By reducing the feature space from 42 to 19 significant attributes, they achieved higher accuracy and lower computational complexity. The results demonstrated that the Decision Tree model excelled in binary detection, while the ANN model performed best for multiclass detection, although detection of rare attacks remained a challenge.","1. Minority Class Detection: The paper admits that their best multiclass model (ANN) still ""underperforms with regards to the minority classes (class 7–9)"" such as Worms and Shellcode.
2. Limited Imbalance Handling: They focused on feature selection rather than specific data balancing techniques (like SMOTE or class weighting) to address the skewed class distribution.
3. Low Multiclass Accuracy: While binary accuracy was high (~90%), the best multiclass accuracy was only ~77%, leaving significant room for improvement.",Done,"

@article{kasongo2020performance,
  title={Performance analysis of intrusion detection systems using a feature selection method on the UNSW-NB15 dataset},
  author={Kasongo, Sydney M and Sun, Yanxia},
  journal={Journal of Big Data},
  volume={7},
  number={1},
  pages={105},
  year={2020},
  publisher={Springer}
}"
Enhanced Intrusion Detection Systems Performance with UNSW-NB15 Data Analysis,https://www.mdpi.com/1999-4893/17/2/64,"1. Acknowledges Imbalance: The paper admits imbalance is a major issue  but solves it via feature engineering, whereas we  will systematically test sampling/weighting.

2. Clarifies Scope: Their focus is detecting any intrusion (Misuse Detection); ours extends to identifying specific attack families like Worms/Shellcode (Multiclass Misuse).

3. Confirms Core Challenge: Both studies agree that data imbalance is the universal design challenge, justifying our focus on balancing techniques.",https://research.unsw.edu.au/projects/unsw-nb15-dataset,"Best Performing Model:
The Random Forest model with feature selection achieved the highest performance:
* Accuracy: 99.45%.
* F1-Score: 99.65%.
* False Alarm Rate (FAR): 1.94% (0.0194), the lowest among all models tested.
Feature Importance:
Feature selection significantly improved performance. The Random Forest model with selected features demonstrated increased true positives and true negatives compared to the model without selection.
Model Comparison:
* Logistic Regression: 98.93% accuracy.
* SVM: 98.79% accuracy, showing high effectiveness in managing complex patterns.
* Decision Tree: 99.04% accuracy.
* The proposed Random Forest model outperformed existing benchmark models from 2018–2022 literature, including Stack Models and XGBoost variants.","Data Pre-processing:
The study used the UNSW-NB15 dataset containing 2,540,044 records. Cleaning involved removing null values and correcting data types (e.g., converting 'ct_ftp_cmd' to numeric).
Feature Engineering & Selection:
* New Feature: Created ""network_bytes"" by combining source-to-destination (sbytes) and destination-to-source (dbytes) bytes.
* Encoding: Applied One-Hot Encoding to categorical features (proto, service, state), resulting in 197 columns.
* Selection: Used XGBClassifier feature importance to select 55 significant features from the original 197. Highly correlated features (e.g., Sloss, ct_srv_dst) were removed using Pearson's Correlation Coefficient.
Models Implemented:
1. Logistic Regression.
2. Linear Support Vector Machine (SVM).
3. Decision Tree (tuned with min_sample_split=6, max_depth=10, min_sample_leaf=9).
4. Random Forest (tuned with n_estimators=300, max_depth=22).
5. Gradient Boosted Decision Tree (GBDT).
Evaluation:
The dataset was split into 70% training and 30% testing. Models were evaluated using Accuracy, Precision, Recall, F1-Score, False Alarm Rate (FAR), ROC, and AUC.","This study addresses the need for robust cybersecurity measures due to the rapid proliferation of network traffic data. The authors developed machine learning models to identify cyber-attacks and enhance Intrusion Detection Systems (IDS) performance using the UNSW-NB15 dataset. By employing algorithms like Logistic Regression, Support Vector Machine (SVM), Decision Tree, and Random Forest, combined with exploratory data analysis and feature selection, the study aimed to reduce false positives and improve accuracy. The results demonstrated that the Random Forest model with feature selection provided the best performance for securing networks against modern threats.","Network Bandwidth Impact:
Although the False Alarm Rate (FAR) is low (1.94%), it is not zero. False detections can still trigger unnecessary data exchange between hosts, generating unnecessary network traffic and reducing effective bandwidth.
Insufficiency for Real-world Deployment:
While accuracy is close to 100%, the authors state it is ""insufficient for a Network Intrusion Detection System"" and requires further optimization for real-world application.
Data Balance:
The dataset used was imbalanced (83.77% normal vs. 12.66% attack in training), which introduces complexities in precision and recall.",Done,"

@article{more2024enhanced,
  title={Enhanced intrusion detection systems performance with UNSW-NB15 data analysis},
  author={More, Shweta and Idrissi, Moad and Mahmoud, Haitham and Asyhari, A Taufiq},
  journal={Algorithms},
  volume={17},
  number={2},
  pages={64},
  year={2024},
  publisher={MDPI}
}"
