Task,Model,Strategy,Accuracy,Macro_F1,Weighted_F1,G_Mean,ROC_AUC
binary,LR,S0,0.8069644852548219,0.7925522660718973,0.7980857719118185,0.7883642567388707,0.954064577018561
binary,LR,S1,0.8340620900743332,0.8277555736818323,0.8310909738711377,0.8231277636941627,0.9548004094715028
binary,LR,S2A,0.8348880143807997,0.8286854221018791,0.8319842858110561,0.8240715203865296,0.9548763435411056
binary,RF,S0,0.8642569110430938,0.8570666980014128,0.8603109769499282,0.8502670209696152,0.982425379363304
binary,RF,S1,0.8972331535733372,0.8938696456168906,0.8957816841167962,0.8883148363664115,0.9839518671256627
binary,RF,S2A,0.8990550454258368,0.8959318269574722,0.8977563138310902,0.8906448842295044,0.9833780698438668
binary,XGB,S0,0.8742894621775251,0.8684347791234055,0.8712434628640161,0.8617669768506705,0.9851286064256262
binary,XGB,S1,0.908091629014235,0.9057627046474052,0.9072619395870964,0.9014142661588616,0.985277079492799
binary,XGB,S2A,0.9056381479862022,0.9030393437740654,0.9046457861433453,0.8982697456125498,0.9852264070962342
multi,LR,S0,0.6939828985084778,0.33375378351124085,0.7038130225961965,0.6050499015062695,0.9440516578918772
multi,LR,S1,0.6138439488898606,0.33972129448456034,0.6772034014684468,0.7180412906767785,0.9402043132559749
multi,LR,S2A,0.6152893164261769,0.3422320947476479,0.6785103855048328,0.7220019865192814,0.9413197710484477
multi,RF,S0,0.7660933780304134,0.45052655030182553,0.773782554348501,0.6837806198891069,0.9593577411852792
multi,RF,S1,0.6899990283243453,0.47344481551627116,0.7400488343351265,0.7355607504031055,0.9539383276688289
multi,RF,S2A,0.6856143419326629,0.4757216094354567,0.7367266205961318,0.7440454451040087,0.9517406966963853
multi,XGB,S0,0.7693241995821795,0.5091253981172958,0.7822197076851588,0.7267737929305872,0.9626127247354548
multi,XGB,S1,0.6830394014477967,0.5137341567420484,0.7372588837997894,0.7916389642621977,0.9586455515085788
multi,XGB,S2A,0.6878734878297624,0.5110899926085684,0.741024035644782,0.7860552516635474,0.9584213418943452
