Class,Treatment,F1,Model,Strategy
Analysis,LR_S0,0.0100401606425702,LR,S0
Backdoor,LR_S0,0.0,LR,S0
DoS,LR_S0,0.0481927710843373,LR,S0
Exploits,LR_S0,0.6371906841339156,LR,S0
Fuzzers,LR_S0,0.386514513819586,LR,S0
Generic,LR_S0,0.9774359250194982,LR,S0
Normal,LR_S0,0.7623550748105448,LR,S0
Reconnaissance,LR_S0,0.5582800697269029,LR,S0
Shellcode,LR_S0,0.0,LR,S0
Worms,LR_S0,0.0,LR,S0
Analysis,LR_S1,0.1077252071638599,LR,S1
Backdoor,LR_S1,0.0662412640534791,LR,S1
DoS,LR_S1,0.2167451975353388,LR,S1
Exploits,LR_S1,0.5745786192565228,LR,S1
Fuzzers,LR_S1,0.3851438813103654,LR,S1
Generic,LR_S1,0.9793289314108612,LR,S1
Normal,LR_S1,0.7281466007710466,LR,S1
Reconnaissance,LR_S1,0.3410719403840642,LR,S1
Shellcode,LR_S1,0.1056253225528986,LR,S1
Worms,LR_S1,0.0329368709972552,LR,S1
Analysis,LR_S2A,0.1036956816028157,LR,S2A
Backdoor,LR_S2A,0.0789177001127395,LR,S2A
DoS,LR_S2A,0.2058066887173833,LR,S2A
Exploits,LR_S2A,0.5799265043638034,LR,S2A
Fuzzers,LR_S2A,0.3847271634013128,LR,S2A
Generic,LR_S2A,0.979224488696074,LR,S2A
Normal,LR_S2A,0.7297981944609735,LR,S2A
Reconnaissance,LR_S2A,0.3771892952220821,LR,S2A
Shellcode,LR_S2A,0.1067366579177602,LR,S2A
Worms,LR_S2A,0.0337711069418386,LR,S2A
Analysis,RF_S0,0.0405117270788912,RF,S0
Backdoor,RF_S0,0.0561009817671809,RF,S0
DoS,RF_S0,0.2578521464819641,RF,S0
Exploits,RF_S0,0.6993202346587205,RF,S0
Fuzzers,RF_S0,0.3941457922882072,RF,S0
Generic,RF_S0,0.9819729999191614,RF,S0
Normal,RF_S0,0.8535783452686574,RF,S0
Reconnaissance,RF_S0,0.8500843946601196,RF,S0
Shellcode,RF_S0,0.5015416238437821,RF,S0
Worms,RF_S0,0.1886792452830188,RF,S0
Analysis,RF_S1,0.0247887323943661,RF,S1
Backdoor,RF_S1,0.057244374259771,RF,S1
DoS,RF_S1,0.2532458840851291,RF,S1
Exploits,RF_S1,0.6999627282892285,RF,S1
Fuzzers,RF_S1,0.3895292714780535,RF,S1
Generic,RF_S1,0.981864237785982,RF,S1
Normal,RF_S1,0.8516334278725671,RF,S1
Reconnaissance,RF_S1,0.8498461538461538,RF,S1
Shellcode,RF_S1,0.5005107252298263,RF,S1
Worms,RF_S1,0.12,RF,S1
Analysis,RF_S2A,0.0507131537242472,RF,S2A
Backdoor,RF_S2A,0.0897747528763571,RF,S2A
DoS,RF_S2A,0.2256323777403035,RF,S2A
Exploits,RF_S2A,0.7013048861796362,RF,S2A
Fuzzers,RF_S2A,0.3895441823270691,RF,S2A
Generic,RF_S2A,0.98216498733768,RF,S2A
Normal,RF_S2A,0.8213850623184331,RF,S2A
Reconnaissance,RF_S2A,0.8482316072228026,RF,S2A
Shellcode,RF_S2A,0.4733096085409252,RF,S2A
Worms,RF_S2A,0.34375,RF,S2A
Analysis,XGB_S0,0.0626780626780626,XGB,S0
Backdoor,XGB_S0,0.039193083573487,XGB,S0
DoS,XGB_S0,0.1675220693902689,XGB,S0
Exploits,XGB_S0,0.7093253241520767,XGB,S0
Fuzzers,XGB_S0,0.4064352243861134,XGB,S0
Generic,XGB_S0,0.9846707294155548,XGB,S0
Normal,XGB_S0,0.8490451467953972,XGB,S0
Reconnaissance,XGB_S0,0.8646915088576664,XGB,S0
Shellcode,XGB_S0,0.4741235392320534,XGB,S0
Worms,XGB_S0,0.5151515151515151,XGB,S0
Analysis,XGB_S1,0.0773033707865168,XGB,S1
Backdoor,XGB_S1,0.1015243025596778,XGB,S1
DoS,XGB_S1,0.2546099290780141,XGB,S1
Exploits,XGB_S1,0.6966360545943477,XGB,S1
Fuzzers,XGB_S1,0.3719509415036702,XGB,S1
Generic,XGB_S1,0.9831803869856562,XGB,S1
Normal,XGB_S1,0.7582210197571688,XGB,S1
Reconnaissance,XGB_S1,0.8588867897107979,XGB,S1
Shellcode,XGB_S1,0.3653155464340687,XGB,S1
Worms,XGB_S1,0.6607142857142857,XGB,S1
Analysis,XGB_S2A,0.0778542606218846,XGB,S2A
Backdoor,XGB_S2A,0.0997263605959258,XGB,S2A
DoS,XGB_S2A,0.2642487046632124,XGB,S2A
Exploits,XGB_S2A,0.701098901098901,XGB,S2A
Fuzzers,XGB_S2A,0.3704836551328618,XGB,S2A
Generic,XGB_S2A,0.9840911533913792,XGB,S2A
Normal,XGB_S2A,0.7771693826514767,XGB,S2A
Reconnaissance,XGB_S2A,0.8616379944125864,XGB,S2A
Shellcode,XGB_S2A,0.3811074918566775,XGB,S2A
Worms,XGB_S2A,0.6407766990291263,XGB,S2A
